Monitor,ThreadTypeAmount,TotalChange
FourCondMonitor,2,110041
FourCondMonitor,2,111471
FourCondMonitor,2,111990
FourCondMonitor,2,112582
FourCondMonitor,2,113390
ThreeLockMonitor,2,45342
ThreeLockMonitor,2,178731
ThreeLockMonitor,2,377002
ThreeLockMonitor,2,531259
ThreeLockMonitor,2,687208
FourCondMonitor,10,117668
FourCondMonitor,10,122316
FourCondMonitor,10,126598
FourCondMonitor,10,130876
FourCondMonitor,10,135339
ThreeLockMonitor,10,1240088
ThreeLockMonitor,10,1944364
ThreeLockMonitor,10,2460072
ThreeLockMonitor,10,2892532
ThreeLockMonitor,10,3527932
FourCondMonitor,50,156519
FourCondMonitor,50,179803
FourCondMonitor,50,201704
FourCondMonitor,50,226787
FourCondMonitor,50,250260
ThreeLockMonitor,50,6042300
ThreeLockMonitor,50,8624054
ThreeLockMonitor,50,11189298
ThreeLockMonitor,50,13893590
ThreeLockMonitor,50,16513946
FourCondMonitor,100,290929
FourCondMonitor,100,335703
FourCondMonitor,100,379632
FourCondMonitor,100,426003
FourCondMonitor,100,467060
ThreeLockMonitor,100,22173928
ThreeLockMonitor,100,28351896
ThreeLockMonitor,100,34195467
ThreeLockMonitor,100,40136314
ThreeLockMonitor,100,45705273
