Monitor,ClientIterations,SchedulerIterations,TotalChange
ThreeLock,50,50,7346788
ThreeLock,250,50,4795717
ThreeLock,500,50,7155289
ThreeLock,1000,50,7134870
ThreeLock,2000,50,12222202
ThreeLock,50,250,3063692
ThreeLock,250,250,3145320
ThreeLock,500,250,3492016
ThreeLock,1000,250,5233684
ThreeLock,2000,250,8254527
ThreeLock,50,500,2405367
ThreeLock,250,500,2278124
ThreeLock,500,500,2780052
ThreeLock,1000,500,4153902
ThreeLock,2000,500,6490629
ThreeLock,50,1000,1395083
ThreeLock,250,1000,1654270
ThreeLock,500,1000,2007227
ThreeLock,1000,1000,2710043
ThreeLock,2000,1000,4230791
ThreeLock,50,2000,818613
ThreeLock,250,2000,918998
ThreeLock,500,2000,1155651
ThreeLock,1000,2000,1748158
ThreeLock,2000,2000,2645879
